Time,Latitude,Longitude,so2,no2,co,o3
2021010812,37.4523573,126.9060964,0.004,0.016,0.4,0.026
2021010812,37.5263482,126.8940673,0.004,0.015,0.5,0.022
2021010812,37.4809317,126.9694092,0.003,0.012,0.3,0.026
2021010812,37.4873589,126.9249133,0.004,0.017,0.4,0.022
2021010812,37.5045472,126.9923083,0.004,0.015,0.2,0.025
2021010812,37.5175463,127.0457754,0.004,0.013,0.4,0.026
2021010812,37.5026878,127.090327,0.004,0.018,0.4,0.025
2021010812,37.5449889,127.1345993,0.003,0.011,0.3,0.028
2021010813,37.5720206,127.0028188,0.003,0.01,0.4,0.03
2021010813,37.5643025,126.972863,0.003,0.007,0.4,0.031
2021010813,37.5400369,127.0026613,0.004,0.01,0.3,0.023
2021010813,37.6100837,126.9327668,0.005,0.008,0.4,0.033
2021010813,37.5937296,126.9475606,0.005,0.009,0.3,0.029
2021010813,37.5555946,126.9033715,0.004,0.012,0.4,0.024
2021010813,37.5420433,127.0474968,0.004,0.021,0.3,0.034
2021010813,37.5471845,127.0903042,0.002,0.013,0.6,0.021
2021010813,37.5757027,127.0265201,0.004,0.01,0.3,0.029
2021010813,37.5848722,127.0917968,0.004,0.012,0.4,0.027
2021010813,37.6067767,127.0251684,0.004,0.013,0.3,0.026
2021010813,37.6478908,127.0096919,0.003,0.005,0.3,0.028
2021010813,37.6541403,127.0268011,0.002,0.004,0.2,0.034
2021010813,37.6587785,127.0663167,0.003,0.008,0.3,0.029
2021010813,37.5201765,126.8581048,0.004,0.011,0.4,0.027
2021010813,37.5446442,126.8329619,0.004,0.009,0.2,0.03
2021010813,37.498268,126.8879302,0.005,0.012,0.3,0.029
2021010813,37.4523573,126.9060964,0.004,0.013,0.4,0.029
2021010813,37.5263482,126.8940673,0.003,0.013,0.5,0.024
2021010813,37.4809317,126.9694092,0.003,0.012,0.4,0.027
2021010813,37.4873589,126.9249133,0.004,0.014,0.4,0.025
2021010813,37.5045472,126.9923083,0.005,0.013,0.2,0.027
2021010813,37.5175463,127.0457754,0.004,0.013,0.4,0.027
2021010813,37.5026878,127.090327,0.004,0.015,0.4,0.029
2021010813,37.5449889,127.1345993,0.003,0.01,0.3,0.03
2021010814,37.5720206,127.0028188,0.003,0.01,0.4,0.03
2021010814,37.5643025,126.972863,0.003,0.007,0.3,0.031
2021010814,37.5400369,127.0026613,0.004,0.009,0.3,0.024
2021010814,37.6100837,126.9327668,0.004,0.008,0.4,0.035
2021010814,37.5937296,126.9475606,0.005,0.01,0.3,0.03
2021010814,37.5555946,126.9033715,0.004,0.013,0.4,0.024
2021010814,37.5420433,127.0474968,0.004,0.02,0.4,0.035
2021010814,37.5471845,127.0903042,0.002,0.01,0.6,0.022
2021010814,37.5757027,127.0265201,0.004,0.011,0.3,0.03
2021010814,37.5848722,127.0917968,0.004,0.013,0.4,0.027
2021010814,37.6067767,127.0251684,0.004,0.015,0.3,0.025
2021010814,37.6478908,127.0096919,0.003,0.004,0.3,0.03
2021010814,37.6541403,127.0268011,0.002,0.004,0.2,0.035
2021010814,37.6587785,127.0663167,0.003,0.008,0.3,0.031
2021010814,37.5201765,126.8581048,0.004,0.013,0.4,0.026
2021010814,37.5446442,126.8329619,0.005,0.009,0.2,0.031
2021010814,37.498268,126.8879302,0.005,0.012,0.3,0.03
2021010814,37.4523573,126.9060964,0.004,0.013,0.4,0.029
2021010814,37.5263482,126.8940673,0.004,0.011,0.4,0.025
2021010814,37.4809317,126.9694092,0.003,0.01,0.3,0.029
2021010814,37.4873589,126.9249133,0.004,0.012,0.4,0.026
2021010814,37.5045472,126.9923083,0.004,0.01,0.2,0.03
2021010814,37.5175463,127.0457754,0.004,0.013,0.4,0.027
2021010814,37.5026878,127.090327,0.004,0.018,0.4,0.028
2021010814,37.5449889,127.1345993,0.003,0.01,0.3,0.03
2021010815,37.5720206,127.0028188,0.003,0.011,0.4,0.031
2021010815,37.5643025,126.972863,0.003,0.008,0.4,0.032
2021010815,37.5400369,127.0026613,0.004,0.011,0.3,0.024
2021010815,37.6100837,126.9327668,0.004,0.009,0.4,0.035
2021010815,37.5937296,126.9475606,0.005,0.009,0.3,0.032
2021010815,37.5555946,126.9033715,0.003,0.016,0.5,0.023
2021010815,37.5420433,127.0474968,0.004,0.018,0.3,0.035
2021010815,37.5471845,127.0903042,0.002,0.012,0.6,0.022
2021010815,37.5757027,127.0265201,0.003,0.011,0.3,0.031
2021010815,37.5848722,127.0917968,0.004,0.013,0.4,0.027
2021010815,37.6067767,127.0251684,0.004,0.014,0.3,0.026
2021010815,37.6478908,127.0096919,0.003,0.005,0.3,0.03
2021010815,37.6541403,127.0268011,0.002,0.004,0.2,0.036
2021010815,37.6587785,127.0663167,0.003,0.009,0.3,0.031
2021010815,37.5201765,126.8581048,0.004,0.014,0.4,0.026
2021010815,37.5446442,126.8329619,0.005,0.009,0.2,0.031
2021010815,37.498268,126.8879302,0.005,0.015,0.3,0.028
2021010815,37.4523573,126.9060964,0.004,0.013,0.4,0.029
2021010815,37.5263482,126.8940673,0.003,0.012,0.4,0.025
2021010815,37.4809317,126.9694092,0.003,0.011,0.3,0.029
2021010815,37.4873589,126.9249133,0.004,0.014,0.4,0.026
2021010815,37.5045472,126.9923083,0.004,0.012,0.2,0.029
2021010815,37.5175463,127.0457754,0.004,0.015,0.4,0.027
2021010815,37.5026878,127.090327,0.004,0.019,0.4,0.027
2021010816,37.5720206,127.0028188,0.004,0.013,0.4,0.029
2021010816,37.5643025,126.972863,0.003,0.01,0.4,0.031
2021010816,37.5400369,127.0026613,0.003,0.013,0.3,0.022
2021010816,37.6100837,126.9327668,0.004,0.011,0.4,0.032
2021010816,37.5937296,126.9475606,0.004,0.011,0.3,0.029
2021010816,37.5555946,126.9033715,0.003,0.018,0.4,0.022
2021010816,37.5420433,127.0474968,0.004,0.022,0.4,0.03
2021010816,37.5471845,127.0903042,0.002,0.012,0.6,0.02
2021010816,37.5757027,127.0265201,0.003,0.013,0.4,0.029
2021010816,37.5848722,127.0917968,0.004,0.017,0.4,0.024
2021010816,37.6067767,127.0251684,0.004,0.013,0.3,0.027
2021010816,37.6478908,127.0096919,0.003,0.006,0.3,0.029
2021010816,37.6541403,127.0268011,0.002,0.006,0.2,0.034
2021010816,37.6587785,127.0663167,0.003,0.011,0.4,0.029
2021010816,37.5201765,126.8581048,0.004,0.018,0.4,0.024
2021010816,37.5446442,126.8329619,0.005,0.011,0.2,0.029
2021010816,37.498268,126.8879302,0.005,0.016,0.3,0.027
2021010816,37.4523573,126.9060964,0.004,0.017,0.4,0.026
2021010816,37.5263482,126.8940673,0.003,0.017,0.4,0.022
2021010816,37.4809317,126.9694092,0.003,0.013,0.3,0.027
2021010816,37.4873589,126.9249133,0.004,0.017,0.4,0.024
2021010816,37.5045472,126.9923083,0.004,0.012,0.2,0.029
2021010816,37.5175463,127.0457754,0.004,0.014,0.4,0.028
2021010816,37.5026878,127.090327,0.003,0.021,0.4,0.026
2021010817,37.5720206,127.0028188,0.003,0.019,0.5,0.023
2021010817,37.5643025,126.972863,0.002,0.013,0.4,0.027
2021010817,37.5400369,127.0026613,0.003,0.014,0.3,0.021
2021010817,37.6100837,126.9327668,0.004,0.014,0.4,0.029
2021010817,37.5937296,126.9475606,0.004,0.017,0.3,0.024
2021010817,37.5555946,126.9033715,0.003,0.023,0.4,0.018
2021010817,37.5420433,127.0474968,0.003,0.024,0.4,0.029
2021010817,37.5471845,127.0903042,0.002,0.015,0.7,0.018
2021010817,37.5757027,127.0265201,0.003,0.017,0.4,0.026
2021010817,37.5848722,127.0917968,0.004,0.023,0.4,0.02
2021010817,37.6067767,127.0251684,0.004,0.016,0.3,0.025
2021010817,37.6478908,127.0096919,0.003,0.009,0.3,0.027
2021010817,37.6541403,127.0268011,0.002,0.008,0.2,0.032
2021010817,37.6587785,127.0663167,0.003,0.014,0.4,0.025
2021010817,37.5201765,126.8581048,0.002,0.021,0.4,0.021
2021010817,37.5446442,126.8329619,0.005,0.017,0.3,0.025
2021010817,37.498268,126.8879302,0.004,0.021,0.3,0.024
2021010817,37.4523573,126.9060964,0.003,0.021,0.4,0.024
2021010817,37.5263482,126.8940673,0.003,0.021,0.5,0.019
2021010817,37.4809317,126.9694092,0.003,0.017,0.3,0.024
2021010817,37.4873589,126.9249133,0.004,0.022,0.4,0.02
2021010817,37.5045472,126.9923083,0.004,0.01,0.2,0.031
2021010817,37.5175463,127.0457754,0.003,0.021,0.4,0.021
2021010817,37.5026878,127.090327,0.004,0.027,0.5,0.019
2021010818,37.5720206,127.0028188,0.002,0.018,0.5,0.023
2021010818,37.5643025,126.972863,0.002,0.017,0.4,0.023
2021010818,37.5400369,127.0026613,0.003,0.016,0.4,0.019
2021010818,37.6100837,126.9327668,0.004,0.017,0.4,0.026
2021010818,37.5937296,126.9475606,0.004,0.014,0.3,0.026
2021010818,37.5555946,126.9033715,0.003,0.027,0.4,0.015
2021010818,37.5420433,127.0474968,0.003,0.024,0.4,0.033
2021010818,37.5471845,127.0903042,0.001,0.015,0.7,0.018
2021010818,37.5757027,127.0265201,0.004,0.019,0.4,0.024
2021010818,37.5848722,127.0917968,0.004,0.025,0.5,0.018
2021010818,37.6067767,127.0251684,0.004,0.018,0.4,0.022
2021010818,37.6478908,127.0096919,0.003,0.01,0.5,0.025
2021010818,37.6541403,127.0268011,0.002,0.01,0.3,0.03
2021010818,37.6587785,127.0663167,0.003,0.017,0.4,0.023
2021010818,37.5201765,126.8581048,0.003,0.022,0.4,0.021
2021010818,37.5446442,126.8329619,0.005,0.019,0.3,0.023
2021010818,37.498268,126.8879302,0.004,0.02,0.3,0.024
2021010818,37.4523573,126.9060964,0.003,0.027,0.5,0.019
2021010818,37.5263482,126.8940673,0.003,0.019,0.5,0.02
2021010818,37.4809317,126.9694092,0.003,0.017,0.3,0.025
2021010818,37.4873589,126.9249133,0.003,0.022,0.4,0.021
2021010818,37.5045472,126.9923083,0.004,0.015,0.3,0.026
2021010818,37.5175463,127.0457754,0.004,0.019,0.4,0.023
2021010818,37.5026878,127.090327,0.003,0.03,0.5,0.017
2021010818,37.5449889,127.1345993,0.004,0.024,0.4,0.015
2021010819,37.5720206,127.0028188,0.003,0.015,0.5,0.026
2021010819,37.5643025,126.972863,0.003,0.017,0.4,0.023
2021010819,37.5400369,127.0026613,0.003,0.015,0.4,0.02
2021010819,37.6100837,126.9327668,0.004,0.018,0.4,0.024
2021010819,37.5937296,126.9475606,0.005,0.013,0.4,0.027
2021010819,37.5555946,126.9033715,0.003,0.025,0.5,0.016
2021010819,37.5420433,127.0474968,0.003,0.019,0.4,0.033
2021010819,37.5471845,127.0903042,0.001,0.016,0.7,0.018
2021010819,37.5757027,127.0265201,0.003,0.017,0.4,0.025
2021010819,37.5848722,127.0917968,0.004,0.021,0.4,0.02
2021010819,37.6067767,127.0251684,0.004,0.018,0.4,0.022
2021010819,37.6478908,127.0096919,0.003,0.006,0.4,0.027
2021010819,37.6541403,127.0268011,0.002,0.008,0.2,0.031
2021010819,37.6587785,127.0663167,0.003,0.015,0.4,0.024
2021010819,37.5201765,126.8581048,0.002,0.021,0.4,0.021
2021010819,37.5446442,126.8329619,0.004,0.016,0.3,0.025
2021010819,37.498268,126.8879302,0.004,0.02,0.3,0.024
2021010819,37.4523573,126.9060964,0.003,0.025,0.4,0.02
2021010819,37.5263482,126.8940673,0.002,0.017,0.5,0.021
2021010819,37.4809317,126.9694092,0.003,0.017,0.3,0.024
2021010819,37.4873589,126.9249133,0.003,0.019,0.4,0.023
2021010819,37.5045472,126.9923083,0.004,0.018,0.3,0.024
2021010819,37.5175463,127.0457754,0.003,0.017,0.4,0.025
2021010819,37.5026878,127.090327,0.003,0.026,0.5,0.02
2021010819,37.5449889,127.1345993,0.004,0.026,0.4,0.014
2021010820,37.5720206,127.0028188,0.003,0.014,0.5,0.026
2021010820,37.5643025,126.972863,0.003,0.014,0.4,0.025
2021010820,37.5400369,127.0026613,0.003,0.013,0.3,0.02
2021010820,37.6100837,126.9327668,0.004,0.017,0.5,0.023
2021010820,37.5937296,126.9475606,0.005,0.017,0.4,0.023
2021010820,37.5555946,126.9033715,0.003,0.022,0.4,0.017
2021010820,37.5420433,127.0474968,0.003,0.02,0.4,0.026
2021010820,37.5471845,127.0903042,0.001,0.016,0.7,0.017
2021010820,37.5757027,127.0265201,0.003,0.015,0.4,0.026
2021010820,37.5848722,127.0917968,0.004,0.022,0.5,0.02
2021010820,37.6067767,127.0251684,0.004,0.018,0.4,0.022
2021010820,37.6478908,127.0096919,0.003,0.008,0.4,0.027
2021010820,37.6541403,127.0268011,0.002,0.009,0.3,0.029
2021010820,37.6587785,127.0663167,0.003,0.018,0.4,0.021
2021010820,37.5201765,126.8581048,0.004,0.017,0.4,0.023
2021010820,37.5446442,126.8329619,0.005,0.012,0.3,0.027
2021010820,37.498268,126.8879302,0.005,0.016,0.3,0.026
2021010820,37.4523573,126.9060964,0.003,0.019,0.4,0.024
2021010820,37.5263482,126.8940673,0.003,0.018,0.5,0.02
2021010820,37.4809317,126.9694092,0.002,0.021,0.4,0.021
2021010820,37.4873589,126.9249133,0.003,0.02,0.4,0.02
2021010820,37.5045472,126.9923083,0.004,0.013,0.2,0.027
2021010820,37.5175463,127.0457754,0.004,0.015,0.4,0.025
2021010820,37.5026878,127.090327,0.003,0.02,0.4,0.024
2021010820,37.5449889,127.1345993,0.003,0.019,0.4,0.02
2021010821,37.5720206,127.0028188,0.003,0.014,0.5,0.024
2021010821,37.5643025,126.972863,0.002,0.013,0.4,0.024
2021010821,37.5400369,127.0026613,0.003,0.013,0.4,0.019
2021010821,37.6100837,126.9327668,0.004,0.019,0.5,0.022
2021010821,37.5937296,126.9475606,0.005,0.016,0.4,0.023
2021010821,37.5555946,126.9033715,0.003,0.019,0.4,0.019
2021010821,37.5420433,127.0474968,0.003,0.022,0.4,0.032
2021010821,37.5471845,127.0903042,0.001,0.015,0.7,0.018
2021010821,37.5757027,127.0265201,0.003,0.017,0.4,0.024
2021010821,37.5848722,127.0917968,0.004,0.021,0.5,0.02
2021010821,37.6067767,127.0251684,0.004,0.016,0.4,0.022
2021010821,37.6478908,127.0096919,0.003,0.007,0.4,0.025
2021010821,37.6541403,127.0268011,0.002,0.007,0.3,0.03
2021010821,37.6587785,127.0663167,0.003,0.015,0.4,0.023
2021010821,37.5201765,126.8581048,0.003,0.015,0.4,0.023
2021010821,37.5446442,126.8329619,0.005,0.014,0.3,0.025
2021010821,37.498268,126.8879302,0.005,0.017,0.3,0.025
2021010821,37.4523573,126.9060964,0.003,0.016,0.4,0.026
2021010821,37.5263482,126.8940673,0.003,0.019,0.5,0.017
2021010821,37.4809317,126.9694092,0.002,0.018,0.4,0.023
2021010821,37.4873589,126.9249133,0.004,0.022,0.5,0.019
2021010821,37.5045472,126.9923083,0.004,0.009,0.3,0.029
2021010821,37.5175463,127.0457754,0.004,0.015,0.4,0.024
2021010821,37.5026878,127.090327,0.003,0.019,0.4,0.024
2021010821,37.5449889,127.1345993,0.004,0.016,0.4,0.022
2021010822,37.5720206,127.0028188,0.004,0.014,0.5,0.024
2021010822,37.5643025,126.972863,0.003,0.011,0.4,0.025
2021010822,37.5400369,127.0026613,0.003,0.014,0.4,0.019
2021010822,37.6100837,126.9327668,0.004,0.013,0.5,0.026
2021010822,37.5937296,126.9475606,0.005,0.011,0.4,0.026
2021010822,37.5555946,126.9033715,0.003,0.016,0.4,0.019
2021010822,37.5420433,127.0474968,0.003,0.021,0.4,0.028
2021010822,37.5471845,127.0903042,0.001,0.012,0.7,0.018
2021010822,37.5757027,127.0265201,0.004,0.017,0.4,0.023
2021010822,37.5848722,127.0917968,0.003,0.022,0.5,0.017
2021010822,37.6067767,127.0251684,0.004,0.017,0.4,0.022
2021010822,37.6478908,127.0096919,0.003,0.007,0.4,0.025
2021010822,37.6541403,127.0268011,0.002,0.005,0.3,0.031
2021010822,37.6587785,127.0663167,0.003,0.014,0.4,0.023
2021010822,37.5201765,126.8581048,0.004,0.016,0.4,0.022
2021010822,37.5446442,126.8329619,0.005,0.014,0.3,0.025
2021010822,37.498268,126.8879302,0.005,0.016,0.3,0.025
2021010822,37.4523573,126.9060964,0.003,0.019,0.4,0.023
2021010822,37.5263482,126.8940673,0.003,0.019,0.5,0.017
2021010822,37.4809317,126.9694092,0.003,0.016,0.4,0.023
2021010822,37.4873589,126.9249133,0.004,0.02,0.5,0.018
2021010822,37.5045472,126.9923083,0.004,0.014,0.3,0.025
2021010822,37.5175463,127.0457754,0.004,0.013,0.4,0.026
2021010822,37.5026878,127.090327,0.003,0.022,0.5,0.021
2021010822,37.5449889,127.1345993,0.003,0.019,0.4,0.02
2021010823,37.5720206,127.0028188,0.003,0.01,0.5,0.028
2021010823,37.5643025,126.972863,0.003,0.01,0.4,0.026
2021010823,37.5400369,127.0026613,0.003,0.011,0.4,0.02
2021010823,37.6100837,126.9327668,0.004,0.012,0.5,0.027
2021010823,37.5937296,126.9475606,0.005,0.008,0.4,0.028
2021010823,37.5555946,126.9033715,0.003,0.017,0.5,0.018
2021010823,37.5420433,127.0474968,0.003,0.017,0.4,0.032
2021010823,37.5471845,127.0903042,0.002,0.011,0.7,0.019
2021010823,37.5757027,127.0265201,0.004,0.016,0.4,0.024
2021010823,37.5848722,127.0917968,0.004,0.018,0.5,0.02
2021010823,37.6067767,127.0251684,0.004,0.014,0.4,0.023
2021010823,37.6478908,127.0096919,0.004,0.007,0.4,0.025
2021010823,37.6541403,127.0268011,0.002,0.006,0.3,0.03
2021010823,37.6587785,127.0663167,0.004,0.01,0.4,0.024
2021010823,37.5201765,126.8581048,0.003,0.017,0.5,0.02
2021010823,37.5446442,126.8329619,0.005,0.016,0.3,0.022
2021010823,37.498268,126.8879302,0.005,0.017,0.3,0.023
2021010823,37.4523573,126.9060964,0.003,0.017,0.4,0.024
2021010823,37.5263482,126.8940673,0.003,0.016,0.5,0.018
2021010823,37.4809317,126.9694092,0.003,0.015,0.4,0.023
2021010823,37.4873589,126.9249133,0.003,0.02,0.5,0.018
2021010823,37.5045472,126.9923083,0.004,0.015,0.3,0.023
2021010823,37.5175463,127.0457754,0.004,0.013,0.4,0.024
2021010823,37.5026878,127.090327,0.002,0.017,0.4,0.025
2021010823,37.5449889,127.1345993,0.004,0.014,0.4,0.023
2021010900,37.5720206,127.0028188,0.004,0.013,0.5,0.025
2021010900,37.5643025,126.972863,0.004,0.008,0.4,0.027
2021010900,37.5400369,127.0026613,0.003,0.015,0.4,0.015
2021010900,37.6100837,126.9327668,0.005,0.01,0.5,0.03
2021010900,37.5937296,126.9475606,0.006,0.007,0.4,0.029
2021010900,37.5555946,126.9033715,0.004,0.017,0.5,0.019
2021010900,37.5420433,127.0474968,0.004,0.016,0.4,0.027
2021010900,37.5471845,127.0903042,0.002,0.01,0.7,0.018
2021010900,37.5757027,127.0265201,0.005,0.015,0.5,0.024
2021010900,37.5848722,127.0917968,0.005,0.015,0.5,0.021
2021010900,37.6067767,127.0251684,0.004,0.014,0.5,0.022
2021010900,37.6478908,127.0096919,0.005,0.008,0.4,0.023
2021010900,37.6541403,127.0268011,0.003,0.009,0.3,0.027
2021010900,37.6587785,127.0663167,0.004,0.012,0.5,0.023
2021010900,37.5201765,126.8581048,0.004,0.021,0.5,0.018
2021010900,37.5446442,126.8329619,0.005,0.014,0.3,0.023
2021010900,37.498268,126.8879302,0.005,0.018,0.4,0.022
2021010900,37.4523573,126.9060964,0.003,0.017,0.5,0.023
2021010900,37.5263482,126.8940673,0.003,0.014,0.5,0.02
2021010900,37.4809317,126.9694092,0.003,0.019,0.4,0.02
2021010900,37.4873589,126.9249133,0.004,0.021,0.5,0.018
2021010900,37.5045472,126.9923083,0.004,0.015,0.3,0.022
2021010900,37.5175463,127.0457754,0.005,0.012,0.4,0.025
2021010900,37.5026878,127.090327,0.004,0.013,0.4,0.027
2021010900,37.5449889,127.1345993,0.004,0.012,0.4,0.024
2021010901,37.5720206,127.0028188,0.005,0.014,0.5,0.023
2021010901,37.5643025,126.972863,0.003,0.013,0.4,0.023
2021010901,37.5400369,127.0026613,0.003,0.018,0.5,0.013
2021010901,37.6100837,126.9327668,0.005,0.01,0.5,0.028
2021010901,37.5937296,126.9475606,0.006,0.008,0.4,0.028
2021010901,37.5555946,126.9033715,0.004,0.018,0.5,0.017
2021010901,37.5420433,127.0474968,0.005,0.018,0.6,0.023
2021010901,37.5471845,127.0903042,0.002,0.009,0.7,0.019
2021010901,37.5757027,127.0265201,0.005,0.019,0.5,0.02
2021010901,37.5848722,127.0917968,0.005,0.013,0.5,0.022
2021010901,37.6067767,127.0251684,0.005,0.014,0.5,0.021
2021010901,37.6478908,127.0096919,0.004,0.014,0.5,0.019
2021010901,37.6541403,127.0268011,0.003,0.013,0.4,0.023
2021010901,37.6587785,127.0663167,0.005,0.01,0.5,0.024
2021010901,37.5201765,126.8581048,0.004,0.016,0.5,0.021
2021010901,37.5446442,126.8329619,0.005,0.014,0.3,0.023
2021010901,37.498268,126.8879302,0.006,0.015,0.4,0.024
2021010901,37.4523573,126.9060964,0.004,0.017,0.5,0.024
2021010901,37.5263482,126.8940673,0.004,0.015,0.5,0.02
2021010901,37.4809317,126.9694092,0.003,0.023,0.4,0.018
2021010901,37.4873589,126.9249133,0.004,0.018,0.5,0.019
2021010901,37.5045472,126.9923083,0.005,0.018,0.4,0.019
2021010901,37.5175463,127.0457754,0.005,0.017,0.5,0.02
2021010901,37.5026878,127.090327,0.005,0.013,0.5,0.026
2021010901,37.5449889,127.1345993,0.005,0.015,0.5,0.021
2021010902,37.5720206,127.0028188,0.004,0.017,0.5,0.021
2021010902,37.5643025,126.972863,0.004,0.015,0.5,0.021
2021010902,37.5400369,127.0026613,0.003,0.021,0.5,0.011
2021010902,37.6100837,126.9327668,0.005,0.011,0.5,0.027
2021010902,37.5937296,126.9475606,0.006,0.009,0.4,0.026
2021010902,37.5555946,126.9033715,0.004,0.018,0.5,0.016
2021010902,37.5420433,127.0474968,0.005,0.019,0.6,0.025
2021010902,37.5471845,127.0903042,0.002,0.01,0.8,0.017
2021010902,37.5757027,127.0265201,0.005,0.018,0.5,0.02
2021010902,37.5848722,127.0917968,0.005,0.012,0.6,0.021
2021010902,37.6067767,127.0251684,0.005,0.014,0.5,0.021
2021010902,37.6478908,127.0096919,0.005,0.014,0.5,0.019
2021010902,37.6541403,127.0268011,0.003,0.016,0.4,0.02
2021010902,37.6587785,127.0663167,0.004,0.012,0.5,0.022
2021010902,37.5201765,126.8581048,0.004,0.016,0.5,0.021
2021010902,37.5446442,126.8329619,0.005,0.013,0.3,0.023
2021010902,37.498268,126.8879302,0.006,0.016,0.4,0.022
2021010902,37.4523573,126.9060964,0.004,0.017,0.5,0.022
2021010902,37.5263482,126.8940673,0.004,0.013,0.5,0.02
2021010902,37.4809317,126.9694092,0.004,0.019,0.4,0.02
2021010902,37.4873589,126.9249133,0.005,0.021,0.5,0.017
2021010902,37.5045472,126.9923083,0.005,0.022,0.4,0.016
2021010902,37.5175463,127.0457754,0.005,0.015,0.5,0.021
2021010902,37.5026878,127.090327,0.005,0.014,0.5,0.025
2021010902,37.5449889,127.1345993,0.005,0.015,0.5,0.021
2021010903,37.5720206,127.0028188,0.004,0.017,0.6,0.019
2021010903,37.5643025,126.972863,0.004,0.01,0.5,0.024
2021010903,37.5400369,127.0026613,0.003,0.02,0.5,0.01
2021010903,37.6100837,126.9327668,0.006,0.014,0.5,0.024
2021010903,37.5937296,126.9475606,0.007,0.015,0.6,0.021
2021010903,37.5555946,126.9033715,0.004,0.019,0.5,0.016
2021010903,37.5420433,127.0474968,0.005,0.02,0.6,0.023
2021010903,37.5471845,127.0903042,0.002,0.012,0.8,0.015
2021010903,37.5757027,127.0265201,0.005,0.021,0.5,0.018
2021010903,37.5848722,127.0917968,0.005,0.013,0.5,0.02
2021010903,37.6067767,127.0251684,0.005,0.018,0.6,0.018
2021010903,37.6478908,127.0096919,0.005,0.013,0.5,0.018
2021010903,37.6541403,127.0268011,0.003,0.019,0.4,0.018
2021010903,37.6587785,127.0663167,0.004,0.01,0.5,0.023
2021010903,37.5201765,126.8581048,0.005,0.016,0.5,0.02
